LRRTM1
ZDBF2
GPR1
NAP1L5
AIM1
LIN28B
HYMAI
PLAGL1
SLC22A2
SLC22A3
IGF2R
DDC
GRB10
PEG10
MAGI2
SGCE
PPP1R9A
DLX5
TFPI2
MEST
CPA4
MESTIT1
KLF14
DLGAP2
ZFAT
KCNK9
GLIS3
INPP5F
KCNQ1OT1
OSBPL5
H19
KCNQ1
KCNQ1DN
CDKN1C
IGF2
INS
IGF2AS
PHLDA2
SLC22A18
ANO1
ZC3H12C
NTM
RB1
MEG3
DLK1
RTL1
MEG8
MAGEL2
NDN
SNRPN
SNORD107
SNORD108
SNORD109A
SNORD109B
ATP10A
UBE3A
MKRN3
SNURF
SNORD64
ZNF597
TCEB3C
DNMT1
PEG3
ZIM2
NLRP2
MIMT1
DIRAS3
TP73
PSIMCT-1
BLCAP
NNAT
SGK2
GNAS
GNASAS
MIR296
MIR298
